Customer_ID,Recency,Frequency,Monetary,Cluster
C0144,159,1,1796.4,2
C0145,15,3,37691.1,0
C0146,49,7,63019.450000000004,3
C0147,55,5,18383.5,0
C0148,23,8,51123.05,3
C0149,176,2,5577.3,2
C0150,182,3,8798.1,2
C0151,6,4,6857.5,0
C0152,23,6,49156.7,3
C0153,4,8,55597.55,3
C0154,20,2,3147.2999999999997,0
C0155,3,10,60838.15,3
C0156,53,3,6119.35,0
C0157,3,6,45692.2,1
C0158,8,6,12250.15,0
C0159,1,5,10559.1,0
C0160,8,3,16440.6,0
C0161,30,5,27777.9,1
C0162,130,4,16761.75,2
C0163,6,6,44987.05,1
C0164,17,4,19015.75,0
C0165,14,5,7586.55,0
C0166,41,6,22294.9,1
C0167,12,11,47267.8,3
C0168,214,1,3058.3,2
C0169,63,7,40899.7,1
C0170,27,5,17619.4,0
C0171,30,5,22232.65,0
C0172,2,4,7736.799999999999,0
C0173,8,5,56144.899999999994,3
C0174,65,4,8674.2,0
C0175,22,8,26923.55,1
C0176,38,6,24136.7,1
C0177,22,8,33351.3,1
C0178,27,3,11161.8,0
C0179,17,4,17491.2,0
C0180,3,7,25009.15,1
C0181,45,9,19151.850000000002,1
C0182,70,10,55465.95,3
C0183,6,4,15425.400000000001,0
C0184,34,5,41258.4,1
C0185,43,5,23722.05,0
C0186,21,6,16497.15,1
C0187,22,3,19265.95,0
C0188,72,3,6774.2,0
C0189,29,4,22272.899999999998,0
C0190,89,3,4992.6,2
C0191,68,4,14602.0,0
C0192,8,4,11793.0,0
C0193,5,4,38879.899999999994,1
C0194,239,1,848.3,2
C0195,37,6,32829.85,1
C0196,40,7,32298.15,1
C0197,68,3,11132.7,0
C0198,29,3,6505.300000000001,0
C0199,20,6,18218.9,1
C0200,86,4,27042.95,0
C0201,16,5,15905.65,0
C0202,54,6,34580.55,1
C0203,7,4,12037.7,0
C0204,22,3,33741.9,0
C0205,63,5,28712.6,1
C0206,76,4,19477.1,0
C0207,84,10,41278.200000000004,3
C0208,47,2,4331.6,0
C0209,49,3,16291.4,0
C0210,3,6,24322.75,1
C0211,74,8,49849.2,3
C0212,98,3,16408.8,2
C0213,36,4,17151.2,0
C0214,60,3,2505.2,0
C0215,44,4,23667.6,0
C0216,42,2,7947.200000000001,0
C0217,151,2,2586.3,2
C0218,7,5,12198.65,0
C0219,6,6,25751.9,1
C0220,5,4,20590.1,0
C0221,6,6,27064.5,1
C0222,3,8,32638.5,1
C0223,176,2,9071.5,2
C0224,15,3,20393.55,0
C0225,58,4,25060.75,0
C0226,14,5,16241.55,0
C0227,56,6,28947.4,1
C0228,11,6,40221.75,1
C0229,43,3,5067.7,0
C0230,29,8,45035.7,3
C0231,79,4,17277.05,0
C0232,5,5,26129.2,1
C0233,23,7,16856.15,1
C0234,4,2,9521.35,0
C0235,153,1,224.1,2
C0236,117,2,7348.1,2
C0237,9,6,25756.75,1
C0238,34,6,28141.8,1
C0239,49,4,17674.95,0
C0240,9,4,9737.1,0
C0241,2,9,34284.65,1
C0242,3,7,37873.7,1
C0243,39,6,36227.2,1
C0244,1,11,61479.15,3
C0245,39,4,13163.7,0
C0246,100,1,6552.15,2
C0247,85,1,9196.0,2
C0248,56,5,12235.2,0
C0249,21,7,64256.600000000006,3
C0250,75,6,36749.1,1
C0251,48,6,26463.1,1
C0252,2,8,42655.7,3
C0253,17,5,21588.4,0
C0254,62,3,21568.95,0
C0255,12,4,14179.2,0
C0256,39,2,14755.2,0
C0257,7,7,18104.4,1
C0258,9,7,29262.75,1
C0259,44,2,5194.700000000001,0
C0260,28,7,39098.25,1
C0261,57,6,32274.550000000003,1
C0262,1,8,47322.45,3
C0263,66,4,17060.55,0
C0264,51,6,28266.9,1
C0265,74,1,3038.1,2
C0266,24,2,9681.5,0
C0267,22,2,18145.3,0
C0268,82,5,8911.0,0
C0269,34,5,18640.600000000002,0
C0270,105,5,26657.95,1
C0271,3,8,48974.65,3
C0272,36,4,5710.9,0
C0273,51,7,16915.6,1
C0274,2,8,66234.9,3
C0275,75,5,20557.95,0
C0276,43,4,15031.5,0
C0277,148,5,19150.899999999998,2
C0278,36,5,23654.25,0
C0279,185,3,6741.35,2
C0280,181,2,8005.5,2
C0281,76,7,24669.15,1
C0282,35,7,42373.95,1
C0283,70,3,8927.05,0
C0284,39,3,29186.55,0
C0285,82,1,2999.0,2
C0286,17,10,70463.79999999999,3
C0287,4,5,22837.0,0
C0288,55,4,33911.05,1
C0289,30,6,24393.3,1
C0290,8,2,18672.6,0
C0291,50,5,12597.85,0
C0292,46,4,10894.75,0
C0293,76,4,15284.150000000001,0
C0294,20,5,29586.75,1
C0295,51,5,46544.450000000004,1
C0296,18,2,7734.7,0
C0297,43,6,18677.15,1
C0298,9,3,10196.65,0
C0299,52,8,38308.600000000006,1
C0300,172,2,11558.65,2
