Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Amount,Rating,Payment_Method
O00105,2026-03-04,C0042,P005,4,0.15,4416.6,5,Cash
O00106,2026-08-11,C0287,P021,3,0.1,1347.3,4,Credit Card
O00107,2026-01-20,C0165,P028,1,0.05,474.05,5,Debit Card
O00108,2026-03-31,C0036,P008,2,0.05,4368.1,3,Debit Card
O00109,2026-02-20,C0102,P030,2,0.05,5698.1,5,UPI
O00110,2026-02-15,C0078,P013,4,0.15,5096.6,5,Net Banking
O00111,2026-04-25,C0115,P001,3,0.1,5397.3,3,UPI
O00112,2026-05-01,C0260,P014,4,0.1,2876.4,5,Net Banking
O00113,2026-01-15,C0184,P017,3,0.0,22497.0,4,Cash
O00114,2026-01-10,C0286,P002,1,0.1,2249.1,5,UPI
O00115,2026-06-15,C0207,P014,1,0.15,679.15,4,Net Banking
O00116,2026-09-02,C0074,P014,1,0.15,679.15,5,Net Banking
O00117,2026-06-16,C0056,P018,2,0.1,2338.2,5,Net Banking
O00118,2026-02-08,C0173,P027,1,0.15,211.65,3,Debit Card
O00119,2026-07-02,C0055,P025,1,0.05,1424.05,2,Cash
O00120,2026-04-23,C0182,P016,2,0.1,16198.2,4,Debit Card
O00121,2026-04-10,C0070,P006,4,0.1,14396.4,5,UPI
O00122,2026-07-22,C0139,P006,3,0.0,11997.0,4,Net Banking
O00123,2026-06-23,C0237,P029,4,0.1,3236.4,4,Net Banking
O00124,2026-08-12,C0079,P019,2,0.1,1258.2,3,Credit Card
O00125,2026-08-23,C0164,P025,3,0.1,4047.3,5,Cash
O00126,2026-02-03,C0261,P005,1,0.1,1169.1,5,Debit Card
O00127,2026-07-28,C0193,P024,2,0.0,1198.0,5,Cash
O00128,2026-05-11,C0170,P011,3,0.0,8997.0,4,Credit Card
O00129,2026-09-01,C0065,P027,2,0.1,448.2,5,Cash
O00130,2026-02-19,C0294,P023,2,0.05,1518.1,3,Debit Card
O00131,2026-08-05,C0131,P012,1,0.0,2499.0,5,Net Banking
O00132,2026-02-03,C0241,P023,4,0.05,3036.2,4,Net Banking
O00133,2026-07-27,C0259,P001,2,0.15,3398.3,2,Debit Card
O00134,2026-06-23,C0018,P030,2,0.15,5098.3,5,Cash
O00135,2026-03-01,C0078,P012,2,0.1,4498.2,5,Cash
O00136,2026-08-20,C0242,P020,2,0.1,8098.2,5,Net Banking
O00137,2026-04-23,C0137,P018,4,0.1,4676.4,5,Net Banking
O00138,2026-05-16,C0003,P026,4,0.05,756.2,5,Net Banking
O00139,2026-02-05,C0250,P009,3,0.0,8997.0,5,Debit Card
O00140,2026-05-22,C0112,P020,1,0.0,4499.0,4,Credit Card
O00141,2026-03-11,C0043,P014,4,0.05,3036.2,5,UPI
O00142,2026-08-31,C0232,P017,2,0.15,12748.3,5,UPI
O00143,2026-04-17,C0011,P018,1,0.15,1104.15,4,Credit Card
O00144,2026-04-09,C0018,P014,1,0.1,719.1,4,Debit Card
O00145,2026-08-27,C0082,P014,1,0.1,719.1,5,Credit Card
O00146,2026-01-10,C0087,P024,3,0.15,1527.45,5,Credit Card
O00147,2026-07-14,C0033,P025,4,0.15,5096.6,5,UPI
O00148,2026-01-05,C0031,P028,3,0.05,1422.15,5,Net Banking
O00149,2026-08-29,C0119,P030,4,0.0,11996.0,5,Credit Card
O00150,2026-03-19,C0184,P030,1,0.0,2999.0,4,Net Banking
O00151,2026-04-28,C0034,P029,1,0.0,899.0,5,Cash
O00152,2026-06-02,C0139,P004,1,0.05,1424.05,5,Debit Card
O00153,2026-04-20,C0013,P020,1,0.1,4049.1,4,Cash
O00154,2026-02-17,C0169,P029,1,0.1,809.1,3,Net Banking
O00155,2026-05-20,C0075,P009,1,0.15,2549.15,5,UPI
O00156,2026-06-12,C0271,P001,4,0.1,7196.4,4,UPI
O00157,2026-04-02,C0132,P022,1,0.1,629.1,4,UPI
O00158,2026-07-17,C0271,P011,3,0.05,8547.15,2,Net Banking
O00159,2026-03-28,C0004,P018,2,0.15,2208.3,5,Cash
O00160,2026-06-11,C0142,P017,2,0.05,14248.1,3,Cash
O00161,2026-01-10,C0052,P020,3,0.05,12822.15,2,Credit Card
O00162,2026-08-15,C0090,P004,1,0.1,1349.1,5,Net Banking
O00163,2026-04-12,C0258,P004,4,0.1,5396.4,2,Credit Card
O00164,2026-03-15,C0098,P026,3,0.0,597.0,5,Debit Card
O00165,2026-03-11,C0193,P020,1,0.1,4049.1,4,Cash
O00166,2026-07-10,C0088,P020,4,0.15,15296.6,4,Credit Card
O00167,2026-05-08,C0190,P027,4,0.1,896.4,5,Net Banking
O00168,2026-03-10,C0084,P026,1,0.15,169.15,3,Net Banking
O00169,2026-07-30,C0253,P029,2,0.1,1618.2,4,UPI
O00170,2026-03-25,C0291,P012,3,0.1,6747.3,4,Cash
O00171,2026-02-12,C0106,P013,4,0.1,5396.4,4,Debit Card
O00172,2026-06-07,C0112,P002,4,0.1,8996.4,5,UPI
O00173,2026-01-20,C0271,P006,4,0.1,14396.4,5,Credit Card
O00174,2026-09-01,C0158,P001,1,0.05,1899.05,5,Cash
O00175,2026-01-09,C0117,P029,2,0.0,1798.0,4,Debit Card
O00176,2026-04-03,C0079,P025,4,0.0,5996.0,5,Cash
O00177,2026-08-31,C0240,P010,3,0.1,1887.3,4,UPI
O00178,2026-05-27,C0190,P001,2,0.1,3598.2,4,Debit Card
O00179,2026-03-05,C0195,P025,1,0.0,1499.0,5,Cash
O00180,2026-05-13,C0124,P014,4,0.0,3196.0,4,Debit Card
O00181,2026-06-30,C0177,P007,4,0.05,6076.2,5,Debit Card
O00182,2026-06-27,C0029,P025,4,0.05,5696.2,3,UPI
O00183,2026-04-26,C0145,P024,2,0.15,1018.3,5,Debit Card
O00184,2026-06-20,C0015,P024,3,0.0,1797.0,5,Debit Card
O00185,2026-08-17,C0148,P027,3,0.05,709.65,5,Credit Card
O00186,2026-07-23,C0108,P022,3,0.05,1992.15,3,Credit Card
O00187,2026-07-22,C0232,P002,2,0.05,4748.1,5,UPI
O00188,2026-04-03,C0146,P017,3,0.15,19122.45,5,Net Banking
O00189,2026-02-03,C0115,P028,1,0.0,499.0,4,Cash
O00190,2026-05-15,C0043,P019,4,0.15,2376.6,5,UPI
O00191,2026-02-02,C0121,P010,3,0.0,2097.0,4,Net Banking
O00192,2026-03-30,C0198,P008,2,0.05,4368.1,5,Credit Card
O00193,2026-04-21,C0042,P008,1,0.0,2299.0,5,Debit Card
O00194,2026-02-12,C0113,P005,2,0.1,2338.2,5,Credit Card
O00195,2026-03-30,C0098,P005,3,0.0,3897.0,4,Net Banking
O00196,2026-03-12,C0280,P012,2,0.1,4498.2,5,UPI
O00197,2026-05-09,C0180,P001,2,0.05,3798.1,4,Net Banking
O00198,2026-07-04,C0060,P007,3,0.0,4797.0,5,UPI
O00199,2026-01-21,C0250,P004,1,0.1,1349.1,5,Net Banking
O00200,2026-04-17,C0037,P007,1,0.15,1359.15,5,Net Banking
O00201,2026-03-16,C0155,P011,3,0.15,7647.45,4,Cash
O00202,2026-03-18,C0117,P003,4,0.0,13996.0,5,Credit Card
O00203,2026-04-23,C0238,P020,4,0.15,15296.6,4,Debit Card
O00204,2026-06-05,C0219,P015,2,0.1,3238.2,5,Debit Card
O00205,2026-07-07,C0249,P021,3,0.15,1272.45,3,Debit Card
O00206,2026-05-12,C0066,P007,1,0.1,1439.1,4,UPI
O00207,2026-03-10,C0300,P004,4,0.05,5696.2,3,UPI
O00208,2026-03-16,C0033,P002,4,0.15,8496.6,4,Credit Card
O00209,2026-07-28,C0297,P029,3,0.1,2427.3,4,Credit Card
O00210,2026-05-08,C0061,P006,4,0.15,13596.6,5,Cash
O00211,2026-01-06,C0208,P009,1,0.15,2549.15,4,Credit Card
O00212,2026-02-25,C0210,P002,3,0.0,7497.0,2,Cash
O00213,2026-06-02,C0130,P025,4,0.1,5396.4,5,UPI
O00214,2026-04-21,C0115,P017,2,0.1,13498.2,5,Cash
O00215,2026-04-04,C0044,P007,1,0.15,1359.15,2,Net Banking
O00216,2026-02-19,C0163,P006,3,0.1,10797.3,3,Net Banking
O00217,2026-04-26,C0010,P022,3,0.0,2097.0,3,UPI
O00218,2026-04-11,C0217,P022,3,0.1,1887.3,5,Debit Card
O00219,2026-07-13,C0158,P029,2,0.05,1708.1,5,Cash
O00220,2026-05-09,C0122,P026,1,0.0,199.0,2,Debit Card
O00221,2026-07-25,C0062,P012,4,0.15,8496.6,3,Net Banking
O00222,2026-02-05,C0219,P007,3,0.1,4317.3,4,Net Banking
O00223,2026-07-09,C0234,P011,3,0.1,8097.3,4,Net Banking
O00224,2026-05-17,C0222,P013,4,0.1,5396.4,4,UPI
O00225,2026-04-05,C0010,P006,3,0.0,11997.0,5,Net Banking
O00226,2026-03-20,C0028,P029,1,0.15,764.15,4,Net Banking
O00227,2026-05-28,C0108,P016,2,0.0,17998.0,5,Credit Card
O00228,2026-05-15,C0193,P023,4,0.05,3036.2,5,Credit Card
O00229,2026-01-09,C0273,P028,1,0.05,474.05,1,Debit Card
O00230,2026-04-18,C0142,P010,2,0.15,1188.3,5,Cash
O00231,2026-05-09,C0181,P023,4,0.0,3196.0,5,Net Banking
O00232,2026-02-23,C0068,P001,3,0.15,5097.45,5,Debit Card
O00233,2026-09-02,C0024,P003,2,0.15,5948.3,5,Debit Card
O00234,2026-05-20,C0060,P024,3,0.1,1617.3,5,Credit Card
O00235,2026-09-03,C0183,P005,2,0.1,2338.2,5,Credit Card
O00236,2026-08-30,C0094,P009,3,0.1,8097.3,5,Cash
O00237,2026-03-23,C0124,P007,4,0.1,5756.4,5,Debit Card
O00238,2026-03-15,C0257,P015,1,0.15,1529.15,5,Cash
O00239,2026-07-29,C0219,P008,3,0.05,6552.15,4,Debit Card
O00240,2026-09-02,C0020,P002,1,0.1,2249.1,5,Debit Card
O00241,2026-07-11,C0075,P029,4,0.05,3416.2,4,Net Banking
O00242,2026-03-11,C0010,P018,3,0.05,3702.15,3,Net Banking
O00243,2026-03-03,C0169,P016,2,0.0,17998.0,5,Net Banking
O00244,2026-02-27,C0188,P018,2,0.0,2598.0,3,Debit Card
O00245,2026-07-03,C0164,P009,4,0.0,11996.0,5,Credit Card
O00246,2026-01-02,C0091,P030,2,0.15,5098.3,5,Cash
O00247,2026-05-03,C0071,P004,2,0.1,2698.2,4,UPI
O00248,2026-08-21,C0119,P023,1,0.05,759.05,5,UPI
O00249,2026-08-22,C0296,P015,2,0.15,3058.3,5,Credit Card
O00250,2026-08-28,C0271,P012,1,0.15,2124.15,5,Credit Card
O00251,2026-08-28,C0237,P003,3,0.0,10497.0,1,Net Banking
O00252,2026-06-04,C0069,P023,1,0.1,719.1,4,Net Banking
O00253,2026-05-15,C0178,P018,4,0.05,4936.2,5,Cash
O00254,2026-03-11,C0016,P016,2,0.0,17998.0,4,Cash
O00255,2026-06-15,C0069,P015,3,0.05,5127.15,1,Debit Card
O00256,2026-07-22,C0098,P018,3,0.05,3702.15,4,Cash
O00257,2026-07-31,C0024,P007,4,0.1,5756.4,3,UPI
O00258,2026-02-17,C0207,P024,2,0.15,1018.3,4,Credit Card
O00259,2026-01-02,C0212,P030,3,0.15,7647.45,4,Debit Card
O00260,2026-09-02,C0257,P023,3,0.1,2157.3,5,Net Banking
O00261,2026-01-03,C0029,P010,3,0.1,1887.3,5,UPI
O00262,2026-06-20,C0013,P001,1,0.15,1699.15,4,Cash
O00263,2026-06-25,C0033,P003,3,0.0,10497.0,5,Debit Card
O00264,2026-04-05,C0260,P021,2,0.05,948.1,5,Cash
O00265,2026-02-09,C0044,P028,4,0.1,1796.4,4,Net Banking
O00266,2026-08-22,C0020,P015,4,0.05,6836.2,5,Net Banking
O00267,2026-08-12,C0126,P027,1,0.15,211.65,5,Debit Card
O00268,2026-01-20,C0155,P007,1,0.0,1599.0,5,Net Banking
O00269,2026-02-21,C0152,P008,2,0.05,4368.1,4,Net Banking
O00270,2026-04-24,C0243,P017,1,0.05,7124.05,5,Cash
O00271,2026-01-24,C0291,P019,4,0.0,2796.0,4,Net Banking
O00272,2026-04-17,C0034,P004,4,0.0,5996.0,5,Debit Card
O00273,2026-07-05,C0263,P007,1,0.15,1359.15,4,UPI
O00274,2026-07-10,C0202,P026,2,0.0,398.0,2,Debit Card
O00275,2026-06-29,C0072,P010,1,0.0,699.0,5,UPI
O00276,2026-08-28,C0274,P025,4,0.0,5996.0,4,Credit Card
O00277,2026-07-16,C0067,P025,2,0.15,2548.3,4,Cash
O00278,2026-04-25,C0086,P030,4,0.15,10196.6,3,Net Banking
O00279,2026-02-04,C0275,P015,3,0.0,5397.0,4,Net Banking
O00280,2026-04-11,C0085,P024,2,0.05,1138.1,5,UPI
O00281,2026-09-08,C0244,P019,3,0.15,1782.45,5,Net Banking
O00282,2026-04-19,C0290,P007,4,0.05,6076.2,4,Debit Card
O00283,2026-02-09,C0038,P008,3,0.05,6552.15,5,UPI
O00284,2026-01-09,C0082,P017,4,0.0,29996.0,4,UPI
O00285,2026-01-26,C0175,P007,1,0.15,1359.15,5,UPI
O00286,2026-03-04,C0042,P004,1,0.15,1274.15,4,Net Banking
O00287,2026-02-25,C0037,P023,1,0.05,759.05,4,Debit Card
O00288,2026-03-01,C0221,P022,3,0.1,1887.3,4,Credit Card
O00289,2026-06-19,C0268,P029,2,0.15,1528.3,4,UPI
O00290,2026-05-23,C0176,P009,2,0.15,5098.3,5,UPI
O00291,2026-09-06,C0271,P006,3,0.15,10197.45,5,Debit Card
O00292,2026-06-28,C0094,P029,4,0.15,3056.6,3,Cash
O00293,2026-02-17,C0184,P012,4,0.05,9496.2,5,Debit Card
O00294,2026-08-08,C0138,P007,2,0.15,2718.3,5,Net Banking
O00295,2026-04-16,C0084,P012,4,0.05,9496.2,4,Debit Card
O00296,2026-02-22,C0041,P028,3,0.0,1497.0,5,Debit Card
O00297,2026-01-24,C0211,P016,2,0.0,17998.0,4,Net Banking
O00298,2026-06-04,C0071,P005,1,0.0,1299.0,4,Net Banking
O00299,2026-07-05,C0239,P010,2,0.15,1188.3,4,Debit Card
O00300,2026-03-19,C0103,P022,1,0.05,664.05,5,UPI
O00301,2026-07-11,C0036,P011,4,0.05,11396.2,5,Credit Card
O00302,2026-04-12,C0020,P015,2,0.1,3238.2,5,Cash
O00303,2026-04-30,C0130,P014,3,0.1,2157.3,4,Net Banking
O00304,2026-08-14,C0138,P019,4,0.15,2376.6,3,Cash
O00305,2026-07-14,C0261,P024,3,0.05,1707.15,4,Cash
O00306,2026-01-12,C0214,P019,2,0.05,1328.1,1,Net Banking
O00307,2026-08-28,C0159,P024,4,0.1,2156.4,3,Debit Card
O00308,2026-02-28,C0019,P011,4,0.05,11396.2,4,Debit Card
O00309,2026-03-07,C0066,P006,4,0.15,13596.6,4,Debit Card
O00310,2026-02-13,C0002,P029,2,0.15,1528.3,4,Net Banking
O00311,2026-06-14,C0100,P025,1,0.0,1499.0,5,UPI
O00312,2026-08-30,C0052,P028,1,0.0,499.0,4,Credit Card
O00313,2026-01-18,C0241,P025,2,0.0,2998.0,4,Cash
O00314,2026-04-06,C0015,P025,1,0.15,1274.15,5,UPI
O00315,2026-01-02,C0107,P004,4,0.0,5996.0,1,Debit Card
O00316,2026-05-18,C0027,P010,3,0.0,2097.0,4,Cash
O00317,2026-07-26,C0027,P022,2,0.0,1398.0,5,Net Banking
O00318,2026-02-08,C0279,P005,2,0.05,2468.1,5,Debit Card
O00319,2026-07-28,C0229,P027,3,0.1,672.3,5,UPI
O00320,2026-04-06,C0141,P001,4,0.15,6796.6,5,Credit Card
O00321,2026-03-18,C0268,P006,1,0.0,3999.0,3,Cash
O00322,2026-04-07,C0054,P011,4,0.0,11996.0,5,Credit Card
O00323,2026-01-22,C0137,P008,4,0.15,7816.6,5,Debit Card
O00324,2026-05-25,C0182,P020,1,0.0,4499.0,4,Net Banking
O00325,2026-05-02,C0042,P003,3,0.0,10497.0,5,Debit Card
O00326,2026-08-19,C0186,P006,1,0.05,3799.05,5,Debit Card
O00327,2026-01-05,C0093,P016,2,0.05,17098.1,5,Cash
O00328,2026-08-26,C0165,P009,1,0.1,2699.1,4,Credit Card
O00329,2026-05-26,C0011,P029,4,0.1,3236.4,4,Credit Card
O00330,2026-07-22,C0177,P012,1,0.1,2249.1,2,Cash
O00331,2026-03-01,C0232,P007,1,0.1,1439.1,5,Net Banking
O00332,2026-09-02,C0218,P022,4,0.1,2516.4,2,Debit Card
O00333,2026-07-20,C0273,P005,4,0.15,4416.6,4,Net Banking
O00334,2026-08-29,C0228,P003,4,0.15,11896.6,4,Net Banking
O00335,2026-06-19,C0115,P016,4,0.0,35996.0,5,Debit Card
O00336,2026-07-24,C0151,P007,2,0.0,3198.0,3,Credit Card
O00337,2026-04-08,C0058,P005,2,0.15,2208.3,4,UPI
O00338,2026-01-24,C0021,P011,1,0.1,2699.1,4,Debit Card
O00339,2026-01-27,C0283,P024,2,0.0,1198.0,4,Cash
O00340,2026-05-23,C0221,P006,4,0.0,15996.0,2,Debit Card
O00341,2026-05-22,C0128,P005,1,0.1,1169.1,5,UPI
O00342,2026-03-16,C0050,P029,4,0.15,3056.6,5,Net Banking
O00343,2026-08-20,C0199,P015,2,0.05,3418.1,5,Credit Card
O00344,2026-02-05,C0232,P001,3,0.1,5397.3,4,Credit Card
O00345,2026-01-17,C0130,P028,2,0.15,848.3,4,Debit Card
O00346,2026-05-04,C0139,P029,1,0.1,809.1,4,Credit Card
O00347,2026-07-04,C0073,P006,4,0.05,15196.2,4,Credit Card
O00348,2026-03-19,C0158,P013,1,0.15,1274.15,4,Net Banking
O00349,2026-04-08,C0123,P003,3,0.15,8922.45,4,Net Banking
O00350,2026-02-04,C0148,P022,3,0.1,1887.3,5,Credit Card
O00351,2026-05-03,C0023,P013,3,0.05,4272.15,5,Debit Card
O00352,2026-03-16,C0063,P007,4,0.05,6076.2,4,Debit Card
O00353,2026-07-29,C0269,P025,4,0.1,5396.4,3,Net Banking
O00354,2026-02-21,C0006,P023,2,0.0,1598.0,5,Cash
O00355,2026-08-30,C0274,P030,2,0.15,5098.3,5,UPI
O00356,2026-07-29,C0004,P018,4,0.15,4416.6,3,Debit Card
O00357,2026-03-03,C0162,P018,3,0.05,3702.15,5,Cash
O00358,2026-01-19,C0225,P001,4,0.15,6796.6,5,Net Banking
O00359,2026-05-10,C0074,P029,4,0.0,3596.0,5,Debit Card
O00360,2026-06-29,C0114,P004,1,0.0,1499.0,5,Debit Card
O00361,2026-02-12,C0032,P001,1,0.15,1699.15,5,Debit Card
O00362,2026-09-05,C0113,P002,4,0.0,9996.0,1,Debit Card
O00363,2026-02-26,C0153,P020,2,0.15,7648.3,4,Cash
O00364,2026-07-17,C0110,P024,2,0.1,1078.2,5,Cash
O00365,2026-01-27,C0257,P030,3,0.15,7647.45,5,UPI
O00366,2026-01-30,C0095,P022,2,0.1,1258.2,4,Cash
O00367,2026-07-20,C0040,P019,2,0.15,1188.3,4,UPI
O00368,2026-04-23,C0157,P012,4,0.1,8996.4,3,UPI
O00369,2026-07-27,C0048,P020,1,0.0,4499.0,5,UPI
O00370,2026-06-23,C0299,P002,2,0.05,4748.1,5,Net Banking
O00371,2026-02-10,C0237,P027,3,0.15,634.95,5,Credit Card
O00372,2026-07-24,C0157,P007,4,0.05,6076.2,4,Cash
O00373,2026-04-12,C0269,P013,1,0.05,1424.05,4,Cash
O00374,2026-04-10,C0117,P016,1,0.05,8549.05,4,UPI
O00375,2026-05-28,C0087,P009,1,0.05,2849.05,4,Credit Card
O00376,2026-04-28,C0236,P017,1,0.1,6749.1,5,Cash
O00377,2026-05-16,C0282,P013,3,0.15,3822.45,5,Net Banking
O00378,2026-01-30,C0116,P008,3,0.1,6207.3,5,Net Banking
O00379,2026-02-14,C0206,P002,3,0.0,7497.0,5,Debit Card
O00380,2026-01-31,C0095,P030,2,0.1,5398.2,3,Debit Card
O00381,2026-06-27,C0267,P020,2,0.15,7648.3,4,Credit Card
O00382,2026-05-28,C0120,P004,4,0.15,5096.6,4,Net Banking
O00383,2026-06-27,C0265,P007,2,0.05,3038.1,4,Credit Card
O00384,2026-02-17,C0260,P009,3,0.15,7647.45,5,Debit Card
