Customer_ID,Customer_Name,City,Customer_Segment,Age
C0132,Customer_0132,Hyderabad,Professional,19
C0133,Customer_0133,Hyderabad,Business,39
C0134,Customer_0134,Mumbai,Business,33
C0135,Customer_0135,Madurai,Student,24
C0136,Customer_0136,Mumbai,Student,48
C0137,Customer_0137,Coimbatore,Student,47
C0138,Customer_0138,Pune,Professional,32
C0139,Customer_0139,Coimbatore,Student,30
C0140,Customer_0140,Mumbai,Professional,35
C0141,Customer_0141,Bengaluru,Professional,40
C0142,Customer_0142,Mumbai,Business,52
C0143,Customer_0143,Pune,Student,25
C0144,Customer_0144,Madurai,Student,55
C0145,Customer_0145,Madurai,Student,24
C0146,Customer_0146,Mumbai,Professional,38
C0147,Customer_0147,Mumbai,Business,50
C0148,Customer_0148,Bengaluru,Professional,54
C0149,Customer_0149,Coimbatore,Professional,20
C0150,Customer_0150,Mumbai,Student,51
C0151,Customer_0151,Coimbatore,Professional,45
C0152,Customer_0152,Bengaluru,Business,39
C0153,Customer_0153,Pune,Business,25
C0154,Customer_0154,Madurai,Business,37
C0155,Customer_0155,Mumbai,Professional,43
C0156,Customer_0156,Madurai,Business,26
C0157,Customer_0157,Coimbatore,Professional,42
C0158,Customer_0158,Hyderabad,Business,54
C0159,Customer_0159,Madurai,Professional,53
C0160,Customer_0160,Chennai,Professional,36
C0161,Customer_0161,Coimbatore,Professional,55
C0162,Customer_0162,Pune,Professional,46
C0163,Customer_0163,Delhi,Business,31
C0164,Customer_0164,Delhi,Business,28
C0165,Customer_0165,Bengaluru,Professional,50
C0166,Customer_0166,Pune,Student,33
C0167,Customer_0167,Madurai,Student,30
C0168,Customer_0168,Hyderabad,Student,20
C0169,Customer_0169,Coimbatore,Professional,22
C0170,Customer_0170,Delhi,Professional,54
C0171,Customer_0171,Coimbatore,Business,42
C0172,Customer_0172,Delhi,Professional,33
C0173,Customer_0173,Hyderabad,Business,18
C0174,Customer_0174,Bengaluru,Professional,32
C0175,Customer_0175,Hyderabad,Business,51
C0176,Customer_0176,Delhi,Student,53
C0177,Customer_0177,Coimbatore,Student,47
C0178,Customer_0178,Hyderabad,Professional,51
C0179,Customer_0179,Pune,Professional,50
C0180,Customer_0180,Mumbai,Business,46
C0181,Customer_0181,Hyderabad,Business,48
C0182,Customer_0182,Delhi,Professional,33
C0183,Customer_0183,Madurai,Business,49
C0184,Customer_0184,Coimbatore,Professional,46
C0185,Customer_0185,Bengaluru,Business,36
C0186,Customer_0186,Coimbatore,Professional,39
C0187,Customer_0187,Pune,Business,23
C0188,Customer_0188,Hyderabad,Student,32
C0189,Customer_0189,Mumbai,Business,27
C0190,Customer_0190,Coimbatore,Student,44
C0191,Customer_0191,Mumbai,Professional,52
C0192,Customer_0192,Delhi,Professional,21
C0193,Customer_0193,Coimbatore,Professional,42
C0194,Customer_0194,Chennai,Business,42
C0195,Customer_0195,Delhi,Student,40
C0196,Customer_0196,Madurai,Professional,44
C0197,Customer_0197,Coimbatore,Professional,32
C0198,Customer_0198,Madurai,Professional,49
C0199,Customer_0199,Chennai,Professional,39
C0200,Customer_0200,Mumbai,Business,28
C0201,Customer_0201,Delhi,Student,52
C0202,Customer_0202,Chennai,Professional,55
C0203,Customer_0203,Chennai,Student,45
C0204,Customer_0204,Hyderabad,Professional,29
C0205,Customer_0205,Chennai,Professional,42
C0206,Customer_0206,Pune,Student,47
C0207,Customer_0207,Pune,Professional,42
C0208,Customer_0208,Madurai,Professional,34
C0209,Customer_0209,Bengaluru,Professional,19
C0210,Customer_0210,Chennai,Professional,32
C0211,Customer_0211,Bengaluru,Business,20
C0212,Customer_0212,Chennai,Student,30
C0213,Customer_0213,Chennai,Business,27
C0214,Customer_0214,Coimbatore,Student,48
C0215,Customer_0215,Bengaluru,Business,31
C0216,Customer_0216,Delhi,Business,34
C0217,Customer_0217,Pune,Student,25
C0218,Customer_0218,Hyderabad,Professional,24
C0219,Customer_0219,Chennai,Professional,54
C0220,Customer_0220,Mumbai,Professional,30
C0221,Customer_0221,Bengaluru,Business,33
C0222,Customer_0222,Bengaluru,Business,37
C0223,Customer_0223,Bengaluru,Business,20
C0224,Customer_0224,Pune,Business,45
C0225,Customer_0225,Pune,Student,50
C0226,Customer_0226,Pune,Student,44
C0227,Customer_0227,Delhi,Student,45
C0228,Customer_0228,Pune,Business,47
C0229,Customer_0229,Hyderabad,Professional,29
C0230,Customer_0230,Madurai,Business,52
C0231,Customer_0231,Delhi,Professional,45
C0232,Customer_0232,Madurai,Professional,33
C0233,Customer_0233,Bengaluru,Professional,46
C0234,Customer_0234,Coimbatore,Professional,54
C0235,Customer_0235,Mumbai,Professional,19
C0236,Customer_0236,Delhi,Professional,29
C0237,Customer_0237,Delhi,Student,40
C0238,Customer_0238,Madurai,Professional,35
C0239,Customer_0239,Madurai,Business,18
C0240,Customer_0240,Coimbatore,Student,33
C0241,Customer_0241,Mumbai,Professional,53
C0242,Customer_0242,Coimbatore,Business,48
C0243,Customer_0243,Delhi,Professional,19
C0244,Customer_0244,Bengaluru,Professional,32
C0245,Customer_0245,Mumbai,Business,33
C0246,Customer_0246,Madurai,Business,55
C0247,Customer_0247,Pune,Professional,53
C0248,Customer_0248,Pune,Professional,53
C0249,Customer_0249,Pune,Professional,47
C0250,Customer_0250,Madurai,Professional,34
C0251,Customer_0251,Coimbatore,Student,30
C0252,Customer_0252,Pune,Student,52
C0253,Customer_0253,Hyderabad,Student,31
C0254,Customer_0254,Delhi,Professional,55
C0255,Customer_0255,Madurai,Student,30
C0256,Customer_0256,Madurai,Student,41
C0257,Customer_0257,Hyderabad,Professional,18
C0258,Customer_0258,Hyderabad,Professional,20
C0259,Customer_0259,Chennai,Business,36
C0260,Customer_0260,Hyderabad,Business,49
C0261,Customer_0261,Bengaluru,Student,54
C0262,Customer_0262,Madurai,Professional,48
C0263,Customer_0263,Delhi,Professional,29
C0264,Customer_0264,Chennai,Professional,48
C0265,Customer_0265,Bengaluru,Student,43
C0266,Customer_0266,Delhi,Student,54
C0267,Customer_0267,Chennai,Student,27
C0268,Customer_0268,Madurai,Student,33
C0269,Customer_0269,Bengaluru,Business,44
C0270,Customer_0270,Coimbatore,Business,42
C0271,Customer_0271,Delhi,Professional,37
C0272,Customer_0272,Mumbai,Professional,54
C0273,Customer_0273,Chennai,Business,24
C0274,Customer_0274,Coimbatore,Business,31
C0275,Customer_0275,Madurai,Business,23
C0276,Customer_0276,Hyderabad,Student,29
C0277,Customer_0277,Bengaluru,Student,18
C0278,Customer_0278,Mumbai,Professional,48
C0279,Customer_0279,Madurai,Student,32
C0280,Customer_0280,Madurai,Business,36
C0281,Customer_0281,Delhi,Student,32
C0282,Customer_0282,Madurai,Business,55
C0283,Customer_0283,Coimbatore,Professional,25
C0284,Customer_0284,Coimbatore,Business,27
C0285,Customer_0285,Madurai,Student,22
C0286,Customer_0286,Chennai,Student,37
C0287,Customer_0287,Madurai,Professional,25
C0288,Customer_0288,Delhi,Business,37
C0289,Customer_0289,Mumbai,Professional,50
C0290,Customer_0290,Delhi,Professional,23
C0291,Customer_0291,Chennai,Professional,38
C0292,Customer_0292,Madurai,Student,23
C0293,Customer_0293,Coimbatore,Business,54
C0294,Customer_0294,Chennai,Business,35
C0295,Customer_0295,Chennai,Student,48
C0296,Customer_0296,Delhi,Professional,29
C0297,Customer_0297,Mumbai,Business,49
C0298,Customer_0298,Bengaluru,Professional,40
C0299,Customer_0299,Mumbai,Professional,38
C0300,Customer_0300,Bengaluru,Student,39
