Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Amount,Rating,Payment_Method,Customer_Name,City,Customer_Segment,Age,Product,Category,Unit_Price,Profit
O00086,2026-01-30,C0143,P017,3,0.05,21372.15,5,Net Banking,Customer_0143,Pune,Student,25,Study Table,Furniture,7499,5906.19
O00087,2026-09-07,C0051,P009,1,0.1,2699.1,2,Debit Card,Customer_0051,Chennai,Business,38,Webcam,Electronics,2999,362.49
O00088,2026-06-29,C0068,P003,3,0.1,9447.3,4,Credit Card,Customer_0068,Pune,Student,50,Smart Watch,Electronics,3499,2648.04
O00089,2026-08-11,C0189,P006,2,0.15,6798.3,3,UPI,Customer_0189,Mumbai,Business,27,Mechanical Keyboard,Electronics,3999,1333.17
O00090,2026-01-24,C0248,P013,2,0.15,2548.3,4,Debit Card,Customer_0248,Pune,Professional,53,Backpack,Accessories,1499,648.18
O00091,2026-02-10,C0096,P027,3,0.1,672.3,5,Net Banking,Customer_0096,Bengaluru,Business,33,Pen Set,Stationery,249,187.08
O00092,2026-06-02,C0211,P002,1,0.0,2499.0,3,Net Banking,Customer_0211,Bengaluru,Business,20,Bluetooth Speaker,Electronics,2499,586.05
O00093,2026-01-13,C0245,P015,1,0.1,1619.1,4,Cash,Customer_0245,Mumbai,Business,33,Hoodie,Fashion,1799,388.31
O00094,2026-05-05,C0211,P018,4,0.15,4416.6,4,Net Banking,Customer_0211,Bengaluru,Business,20,Desk Lamp,Home,1299,758.07
O00095,2026-01-30,C0104,P009,3,0.15,7647.45,3,Net Banking,Customer_0104,Chennai,Professional,54,Webcam,Electronics,2999,1306.62
O00096,2026-05-05,C0143,P007,3,0.0,4797.0,4,Net Banking,Customer_0143,Pune,Student,25,Laptop Stand,Electronics,1599,581.1
O00097,2026-01-15,C0215,P011,1,0.05,2849.05,4,Credit Card,Customer_0215,Bengaluru,Business,31,Running Shoes,Fashion,2999,727.54
O00098,2026-07-16,C0199,P021,2,0.1,898.2,4,UPI,Customer_0199,Chennai,Professional,39,Face Wash,Beauty,499,216.51
O00099,2026-01-02,C0299,P024,4,0.15,2036.6,4,Cash,Customer_0299,Mumbai,Professional,38,Sunscreen,Beauty,599,300.9
O00100,2026-05-17,C0251,P024,2,0.1,1078.2,3,UPI,Customer_0251,Coimbatore,Student,30,Sunscreen,Beauty,599,190.51
O00101,2026-04-22,C0152,P012,1,0.15,2124.15,5,Debit Card,Customer_0152,Bengaluru,Business,39,Casual Sneakers,Fashion,2499,499.88
O00102,2026-05-28,C0177,P024,4,0.15,2036.6,5,Cash,Customer_0177,Coimbatore,Student,47,Sunscreen,Beauty,599,483.88
O00103,2026-03-16,C0062,P001,1,0.15,1699.15,2,Debit Card,Customer_0062,Delhi,Business,46,Wireless Earbuds,Electronics,1999,441.11
O00104,2026-02-13,C0167,P015,4,0.1,6476.4,3,UPI,Customer_0167,Madurai,Student,30,Hoodie,Fashion,1799,1349.57
O00105,2026-03-04,C0042,P005,4,0.15,4416.6,5,Cash,Customer_0042,Madurai,Business,18,Gaming Mouse,Electronics,1299,1166.71
O00106,2026-08-11,C0287,P021,3,0.1,1347.3,4,Credit Card,Customer_0287,Madurai,Professional,25,Face Wash,Beauty,499,208.68
O00107,2026-01-20,C0165,P028,1,0.05,474.05,5,Debit Card,Customer_0165,Bengaluru,Professional,50,Calculator,Stationery,499,137.24
O00108,2026-03-31,C0036,P008,2,0.05,4368.1,3,Debit Card,Customer_0036,Mumbai,Business,43,USB-C Hub,Electronics,2299,1044.27
O00109,2026-02-20,C0102,P030,2,0.05,5698.1,5,UPI,Customer_0102,Mumbai,Student,37,Travel Bag,Accessories,2999,912.4
O00110,2026-02-15,C0078,P013,4,0.15,5096.6,5,Net Banking,Customer_0078,Coimbatore,Student,52,Backpack,Accessories,1499,716.76
O00111,2026-04-25,C0115,P001,3,0.1,5397.3,3,UPI,Customer_0115,Hyderabad,Professional,36,Wireless Earbuds,Electronics,1999,648.32
O00112,2026-05-01,C0260,P014,4,0.1,2876.4,5,Net Banking,Customer_0260,Hyderabad,Business,49,T-Shirt,Fashion,799,606.1
O00113,2026-01-15,C0184,P017,3,0.0,22497.0,4,Cash,Customer_0184,Coimbatore,Professional,46,Study Table,Furniture,7499,3465.45
O00114,2026-01-10,C0286,P002,1,0.1,2249.1,5,UPI,Customer_0286,Chennai,Student,37,Bluetooth Speaker,Electronics,2499,666.78
O00115,2026-06-15,C0207,P014,1,0.15,679.15,4,Net Banking,Customer_0207,Pune,Professional,42,T-Shirt,Fashion,799,144.13
O00116,2026-09-02,C0074,P014,1,0.15,679.15,5,Net Banking,Customer_0074,Pune,Professional,44,T-Shirt,Fashion,799,84.41
O00117,2026-06-16,C0056,P018,2,0.1,2338.2,5,Net Banking,Customer_0056,Bengaluru,Business,26,Desk Lamp,Home,1299,511.63
O00118,2026-02-08,C0173,P027,1,0.15,211.65,3,Debit Card,Customer_0173,Hyderabad,Business,18,Pen Set,Stationery,249,46.83
O00119,2026-07-02,C0055,P025,1,0.05,1424.05,2,Cash,Customer_0055,Bengaluru,Student,49,Perfume,Beauty,1499,254.46
O00120,2026-04-23,C0182,P016,2,0.1,16198.2,4,Debit Card,Customer_0182,Delhi,Professional,33,Office Chair,Furniture,8999,4640.92
O00121,2026-04-10,C0070,P006,4,0.1,14396.4,5,UPI,Customer_0070,Coimbatore,Business,26,Mechanical Keyboard,Electronics,3999,3938.39
O00122,2026-07-22,C0139,P006,3,0.0,11997.0,4,Net Banking,Customer_0139,Coimbatore,Student,30,Mechanical Keyboard,Electronics,3999,2018.39
O00123,2026-06-23,C0237,P029,4,0.1,3236.4,4,Net Banking,Customer_0237,Delhi,Student,40,Table Clock,Home,899,687.96
O00124,2026-08-12,C0079,P019,2,0.1,1258.2,3,Credit Card,Customer_0079,Delhi,Student,45,Water Bottle,Home,699,250.18
O00125,2026-08-23,C0164,P025,3,0.1,4047.3,5,Cash,Customer_0164,Delhi,Business,28,Perfume,Beauty,1499,927.84
O00126,2026-02-03,C0261,P005,1,0.1,1169.1,5,Debit Card,Customer_0261,Bengaluru,Student,54,Gaming Mouse,Electronics,1299,284.46
O00127,2026-07-28,C0193,P024,2,0.0,1198.0,5,Cash,Customer_0193,Coimbatore,Professional,42,Sunscreen,Beauty,599,157.1
O00128,2026-05-11,C0170,P011,3,0.0,8997.0,4,Credit Card,Customer_0170,Delhi,Professional,54,Running Shoes,Fashion,2999,1435.98
O00129,2026-09-01,C0065,P027,2,0.1,448.2,5,Cash,Customer_0065,Coimbatore,Business,32,Pen Set,Stationery,249,131.0
O00130,2026-02-19,C0294,P023,2,0.05,1518.1,3,Debit Card,Customer_0294,Chennai,Business,35,Moisturizer,Beauty,799,216.72
O00131,2026-08-05,C0131,P012,1,0.0,2499.0,5,Net Banking,Customer_0131,Hyderabad,Student,28,Casual Sneakers,Fashion,2499,538.86
O00132,2026-02-03,C0241,P023,4,0.05,3036.2,4,Net Banking,Customer_0241,Mumbai,Professional,53,Moisturizer,Beauty,799,580.57
O00133,2026-07-27,C0259,P001,2,0.15,3398.3,2,Debit Card,Customer_0259,Chennai,Business,36,Wireless Earbuds,Electronics,1999,748.7
O00134,2026-06-23,C0018,P030,2,0.15,5098.3,5,Cash,Customer_0018,Chennai,Business,32,Travel Bag,Accessories,2999,631.53
O00135,2026-03-01,C0078,P012,2,0.1,4498.2,5,Cash,Customer_0078,Coimbatore,Student,52,Casual Sneakers,Fashion,2499,1341.17
O00136,2026-08-20,C0242,P020,2,0.1,8098.2,5,Net Banking,Customer_0242,Coimbatore,Business,48,Coffee Maker,Home Appliances,4499,1605.96
O00137,2026-04-23,C0137,P018,4,0.1,4676.4,5,Net Banking,Customer_0137,Coimbatore,Student,47,Desk Lamp,Home,1299,1360.72
O00138,2026-05-16,C0003,P026,4,0.05,756.2,5,Net Banking,Customer_0003,Bengaluru,Business,52,Notebook,Stationery,199,220.0
O00139,2026-02-05,C0250,P009,3,0.0,8997.0,5,Debit Card,Customer_0250,Madurai,Professional,34,Webcam,Electronics,2999,2231.01
O00140,2026-05-22,C0112,P020,1,0.0,4499.0,4,Credit Card,Customer_0112,Madurai,Business,24,Coffee Maker,Home Appliances,4499,997.22
O00141,2026-03-11,C0043,P014,4,0.05,3036.2,5,UPI,Customer_0043,Bengaluru,Business,52,T-Shirt,Fashion,799,588.71
O00142,2026-08-31,C0232,P017,2,0.15,12748.3,5,UPI,Customer_0232,Madurai,Professional,33,Study Table,Furniture,7499,3565.3
O00143,2026-04-17,C0011,P018,1,0.15,1104.15,4,Credit Card,Customer_0011,Hyderabad,Student,39,Desk Lamp,Home,1299,262.63
O00144,2026-04-09,C0018,P014,1,0.1,719.1,4,Debit Card,Customer_0018,Chennai,Business,32,T-Shirt,Fashion,799,125.31
O00145,2026-08-27,C0082,P014,1,0.1,719.1,5,Credit Card,Customer_0082,Bengaluru,Student,52,T-Shirt,Fashion,799,213.3
O00146,2026-01-10,C0087,P024,3,0.15,1527.45,5,Credit Card,Customer_0087,Chennai,Professional,34,Sunscreen,Beauty,599,224.05
O00147,2026-07-14,C0033,P025,4,0.15,5096.6,5,UPI,Customer_0033,Hyderabad,Professional,26,Perfume,Beauty,1499,1470.13
O00148,2026-01-05,C0031,P028,3,0.05,1422.15,5,Net Banking,Customer_0031,Pune,Student,49,Calculator,Stationery,499,402.96
O00149,2026-08-29,C0119,P030,4,0.0,11996.0,5,Credit Card,Customer_0119,Bengaluru,Business,45,Travel Bag,Accessories,2999,2277.89
O00150,2026-03-19,C0184,P030,1,0.0,2999.0,4,Net Banking,Customer_0184,Coimbatore,Professional,46,Travel Bag,Accessories,2999,613.48
O00151,2026-04-28,C0034,P029,1,0.0,899.0,5,Cash,Customer_0034,Coimbatore,Business,53,Table Clock,Home,899,110.94
O00152,2026-06-02,C0139,P004,1,0.05,1424.05,5,Debit Card,Customer_0139,Coimbatore,Student,30,Power Bank,Electronics,1499,388.62
O00153,2026-04-20,C0013,P020,1,0.1,4049.1,4,Cash,Customer_0013,Bengaluru,Professional,40,Coffee Maker,Home Appliances,4499,979.81
O00154,2026-02-17,C0169,P029,1,0.1,809.1,3,Net Banking,Customer_0169,Coimbatore,Professional,22,Table Clock,Home,899,168.83
O00155,2026-05-20,C0075,P009,1,0.15,2549.15,5,UPI,Customer_0075,Delhi,Business,21,Webcam,Electronics,2999,503.33
O00156,2026-06-12,C0271,P001,4,0.1,7196.4,4,UPI,Customer_0271,Delhi,Professional,37,Wireless Earbuds,Electronics,1999,935.92
O00157,2026-04-02,C0132,P022,1,0.1,629.1,4,UPI,Customer_0132,Hyderabad,Professional,19,Shampoo,Beauty,699,143.37
O00158,2026-07-17,C0271,P011,3,0.05,8547.15,2,Net Banking,Customer_0271,Delhi,Professional,37,Running Shoes,Fashion,2999,2012.89
O00159,2026-03-28,C0004,P018,2,0.15,2208.3,5,Cash,Customer_0004,Bengaluru,Business,45,Desk Lamp,Home,1299,418.67
O00160,2026-06-11,C0142,P017,2,0.05,14248.1,3,Cash,Customer_0142,Mumbai,Business,52,Study Table,Furniture,7499,3371.3
O00161,2026-01-10,C0052,P020,3,0.05,12822.15,2,Credit Card,Customer_0052,Delhi,Student,25,Coffee Maker,Home Appliances,4499,1853.01
O00162,2026-08-15,C0090,P004,1,0.1,1349.1,5,Net Banking,Customer_0090,Madurai,Student,21,Power Bank,Electronics,1499,198.53
O00163,2026-04-12,C0258,P004,4,0.1,5396.4,2,Credit Card,Customer_0258,Hyderabad,Professional,20,Power Bank,Electronics,1499,1614.83
O00164,2026-03-15,C0098,P026,3,0.0,597.0,5,Debit Card,Customer_0098,Coimbatore,Business,20,Notebook,Stationery,199,141.77
O00165,2026-03-11,C0193,P020,1,0.1,4049.1,4,Cash,Customer_0193,Coimbatore,Professional,42,Coffee Maker,Home Appliances,4499,877.17
O00166,2026-07-10,C0088,P020,4,0.15,15296.6,4,Credit Card,Customer_0088,Delhi,Professional,45,Coffee Maker,Home Appliances,4499,2363.16
O00167,2026-05-08,C0190,P027,4,0.1,896.4,5,Net Banking,Customer_0190,Coimbatore,Student,44,Pen Set,Stationery,249,109.01
O00168,2026-03-10,C0084,P026,1,0.15,169.15,3,Net Banking,Customer_0084,Hyderabad,Professional,49,Notebook,Stationery,199,40.21
O00169,2026-07-30,C0253,P029,2,0.1,1618.2,4,UPI,Customer_0253,Hyderabad,Student,31,Table Clock,Home,899,465.77
O00170,2026-03-25,C0291,P012,3,0.1,6747.3,4,Cash,Customer_0291,Chennai,Professional,38,Casual Sneakers,Fashion,2499,1075.33
O00171,2026-02-12,C0106,P013,4,0.1,5396.4,4,Debit Card,Customer_0106,Coimbatore,Business,34,Backpack,Accessories,1499,818.08
O00172,2026-06-07,C0112,P002,4,0.1,8996.4,5,UPI,Customer_0112,Madurai,Business,24,Bluetooth Speaker,Electronics,2499,1452.25
O00173,2026-01-20,C0271,P006,4,0.1,14396.4,5,Credit Card,Customer_0271,Delhi,Professional,37,Mechanical Keyboard,Electronics,3999,3990.57
O00174,2026-09-01,C0158,P001,1,0.05,1899.05,5,Cash,Customer_0158,Hyderabad,Business,54,Wireless Earbuds,Electronics,1999,561.27
O00175,2026-01-09,C0117,P029,2,0.0,1798.0,4,Debit Card,Customer_0117,Coimbatore,Business,34,Table Clock,Home,899,447.2
O00176,2026-04-03,C0079,P025,4,0.0,5996.0,5,Cash,Customer_0079,Delhi,Student,45,Perfume,Beauty,1499,986.74
O00177,2026-08-31,C0240,P010,3,0.1,1887.3,4,UPI,Customer_0240,Coimbatore,Student,33,Phone Case,Accessories,699,272.58
O00178,2026-05-27,C0190,P001,2,0.1,3598.2,4,Debit Card,Customer_0190,Coimbatore,Student,44,Wireless Earbuds,Electronics,1999,438.37
O00179,2026-03-05,C0195,P025,1,0.0,1499.0,5,Cash,Customer_0195,Delhi,Student,40,Perfume,Beauty,1499,301.9
O00180,2026-05-13,C0124,P014,4,0.0,3196.0,4,Debit Card,Customer_0124,Bengaluru,Student,27,T-Shirt,Fashion,799,659.41
O00181,2026-06-30,C0177,P007,4,0.05,6076.2,5,Debit Card,Customer_0177,Coimbatore,Student,47,Laptop Stand,Electronics,1599,1039.62
O00182,2026-06-27,C0029,P025,4,0.05,5696.2,3,UPI,Customer_0029,Pune,Professional,35,Perfume,Beauty,1499,918.32
O00183,2026-04-26,C0145,P024,2,0.15,1018.3,5,Debit Card,Customer_0145,Madurai,Student,24,Sunscreen,Beauty,599,189.54
O00184,2026-06-20,C0015,P024,3,0.0,1797.0,5,Debit Card,Customer_0015,Bengaluru,Professional,23,Sunscreen,Beauty,599,311.92
O00185,2026-08-17,C0148,P027,3,0.05,709.65,5,Credit Card,Customer_0148,Bengaluru,Professional,54,Pen Set,Stationery,249,109.18
O00186,2026-07-23,C0108,P022,3,0.05,1992.15,3,Credit Card,Customer_0108,Coimbatore,Professional,36,Shampoo,Beauty,699,429.88
O00187,2026-07-22,C0232,P002,2,0.05,4748.1,5,UPI,Customer_0232,Madurai,Professional,33,Bluetooth Speaker,Electronics,2499,592.73
O00188,2026-04-03,C0146,P017,3,0.15,19122.45,5,Net Banking,Customer_0146,Mumbai,Professional,38,Study Table,Furniture,7499,2556.84
